,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
2276,Station,['2191164'],28 Mar 2014,"Crime, Drama, Thriller","Kanika Batra, Gulshan Grover, Rohiet Nair",Three psychotic assassins take up a job at a waiting room of a deserted railway Station. Will they finish the job or anything that can go wrong will go wrong?,7.5,90,2014
2277,Dastaan,['2404721'],26 Jun 2010,"Drama, History, Romance","Sanam Baloch, Ahsan Khan, Fawad Khan",Bano and her fiance face the trials and tribulations caused by the 1947 Indian partition.,8.8,935,2010
2278,Geet,['1876868'],05 Apr 2010,Romance,"Gurmeet Choudhary, Drashti Dhami",The story revolves around a small town Woman Geet and how she tackles all the difficulties that come in her way with an unconditional support from a business tycoon Maan Singh Khurana.,6.7,298,2010–2011
2279,Warrant,['0158356'],11 Jan 1975,"Action, Thriller","Dev Anand, Zeenat Aman, Pran, Dara Singh","During a jail riot instigated by convict Jaggu (Joginder), the Jailer, Arun Mehra's (Dev Anand) life is threatened and another convict, Dinesh (Satish Kaul), risks his life to save Arun. ...",7.1,97,1975
2280,Pratikar,['0105161'],16 Aug 1991,"Action, Crime, Drama","Rakhee Gulzar, Anil Kapoor, Madhuri Dixit","After the ""accidental"" death of his father, Narayan Srivastav (Satyen Kappu), young Krishna is driven out of the house by his paternal uncle Sajhan (Paresh Rawal), and goes to live with his school-teacher Saraswati Devi (Raakhee), wh",5.1,113,1991
2281,Magic Magic 3D,['13914856'],11 Apr 2003,Drama,"S.P. Balasubrahmanyam, Pooja Kumar, Tirlok Malik","Indrajeet lives with his grandfather, a magician Acharya in Mayapuri. The boy's mother died when he was an infant. Acharya teaches him magic, but never sent him to school for formal ...",N/A,N/A,2003
2282,Ishq Forever,['4979160'],19 Feb 2016,Romance,"Krishna Chaturvedi, Ruhi Singh, Javed Jaffrey","The film stars Ruhi Singh as Rhea, a free-spirited girl, whose life turns upside down when her father gets appointed as the Prime Minister of India. The fiercely independent Rhea starts to feel stifled because of the security team th",4.1,105,2016
2283,Jhanak Jhanak Payal Baaje,['0145856'],10 Sep 1955,"Drama, Musical, Romance","Gopi Krishna, Sandhya, Keshavrao Date","Dancer maestro Mangal Maharaj wants his son, Girdhar, who is a dancer par excellence, to enter the once-in-ten-years Nateshwar Utsav dance competition, win it, and be crowned the Bharat Natraj. While Girdhar can do a solo dance numbe",7.0,111,1955
2284,Sirf Tum,['0244794'],11 Jun 1999,"Romance, Drama","Sanjay Kapoor, Priya Gill, Sushmita Sen","Deepak returns Aarti's lost-in-transit luggage. The two start communicating via letter. They fall in love and rural/suburban Aarti comes to the city to look for Deepak, whom she had sent a handwoven pullover.",6.1,"1,437",1999
2285,Agnipankh,['10745584'],08 Nov 2017,Drama,"Satyajeet Dubey, Gulki Joshi, Satyajit Sharma, Sheetal Singh",N/A,N/A,N/A,2017
2286,Phool,['0107820'],N/A,Romance,"Kumar Gaurav, Madhuri Dixit, Sunil Dutt","Farmers Dharamraaj and Balram Choudhary are two friends who live in Ram Nagar in scenic Ooty. While Dharamraaj is widowed and lives with his mom and son, Raju, Balram lives with his wife, Savitri and a daughter, Guddi. Both Guddi and",5.1,105,1993
2287,Titoo MBA,['3309844'],21 Nov 2014,"Comedy, Romance","Nishant Dahiya, Pragya Jaiswal, Nandini Singh, Aanchal Singh",A couple on the brink of divorce explain their separate viewpoints and reasons to their respective lawyers.,4.6,98,2014
2288,Seema,['0146266'],N/A,Drama,"Nutan, Balraj Sahni, Sunder","An orphan gets in trouble with the law and is sent to a home for young women. There, for the first time, she finds friendship, compassion, and possibly love.",6.8,108,1955
2289,Anpadh,['0206554'],N/A,"Drama, Musical, Romance","Mala Sinha, Balraj Sahni, Dharmendra","A wealthy, pampered and illiterate woman faces many challenges after her marriage.",6.6,118,1962
2290,Meera,['0081147'],18 May 1979,"Drama, History","Hema Malini, Vinod Khanna, Shammi Kapoor","Circa Mughal rule in India, the Rajputs get together to discuss the ouster of Badshah Akbar, who is now the Emperor of Hindustan (India). Prominent amongst the Rajputs are Virendev Rathod, and Rana Vikramjit Singh Sesodia. In order t",6.6,109,1979
2291,Naya Zamana,['0067478'],N/A,"Drama, Romance","Dharmendra, Hema Malini, Ashok Kumar",An idealistic young man fights against the exploitation of the poor by the rich. He had been at the receiving end of their exploitation when a book actually written by him was credited to a rich man.,6.9,105,1971
2292,Login,['2188805'],12 Oct 2012,"Drama, Thriller","Himanshu Bhatt, Raadhika Singh, Akkash Basnet",This movie is about three characters who are connected to the Internet and end up disconnecting their actual life.,5.7,101,2012
2293,Besharam,['2576450'],02 Oct 2013,"Action, Comedy, Romance","Ranbir Kapoor, Pallavi Sharda, Rishi Kapoor","Babli is a street smart car mechanic living in a Delhi orphanage. He is charming and lives life to the fullest. He also steals cars to support his orphanage. He has no sense of right or wrong till he unwittingly hurts the love of his life, Tara and is chased by cop couple Chulbul Chautala and Bulbul Chautala. Babli realizes that there is no right way of doing the wrong thing. Babli sets out to fix all the wrongs in his life and he continues to be shameless about it.",3.6,"5,415",2013
2294,Dalaal,['0106653'],29 Oct 1993,"Action, Drama","Mithun Chakraborty, Ayesha Jhulka, Ravi Behl","Naive, illiterate Bhola Nath lives in a small village in India, which has yet to receive electricity. Bhola is helpful to everyone around him, and even speaks out against the local politician, Chatriprasad. Perturbed by this, Chatrip",4.9,112,1993
2295,Aa Gale Lag Jaa,['0177473'],06 Nov 1973,"Action, Drama, Romance","Shashi Kapoor, Sharmila Tagore, Shatrughan Sinha","Preeti lives a wealthy lifestyle in Bombay along with her widower dad, Heerachand, and is a medical student. While on a trip to Simla, she meets and falls in love with a Casanova, Prem, and both get intimate. When her dad opposes thi",7.2,348,1973
2296,Ek Haseena Thi Ek Deewana Tha,['6349528'],30 Jun 2017,Drama,"Shiv Darshan, Natasha Fernandez, Upen Patel","Natasha and her fiance, Sunny visit her ancestral property where she meets Devdhar, a man who she forms a passionate connection with.",2.5,108,2017
2297,Chase,['1582458'],20 Sep 2010,"Action, Crime, Drama","Kelli Giddish, Cole Hauser, Jesse Metcalfe",A team tracks down fugitive criminals.,7.1,"5,148",2010–2011
2298,Pyaasa,['0050870'],19 Feb 1957,"Drama, Musical, Romance","Guru Dutt, Waheeda Rehman, Mala Sinha",A talented but indigent poet Vijay struggles for love and recognition in this selfish world.,8.5,"5,990",1957
2299,Griha Pravesh,['0156581'],28 Jul 1979,"Drama, Romance","Sanjeev Kumar, Sharmila Tagore, Sarika","Amar and Mansi meet through their respective families and have an arranged marriage. Amar, a book-keeper, is very thrifty, intends to save money so that they can buy their very own flat, and both to live as frugally as possible. Mans",6.9,108,1979
2300,Geet Gaata Chal,['0165795'],01 Jul 1975,"Comedy, Drama, Family, Musical","Sachin Pilgaonkar, Sarika, Urmila Bhatt, Madan Puri","Durga Babu, and his wife, Ganga, comes across Shyam, an orphan, who sings and dances on special occasions, and decide to take him home. Shyam meets with their daughter, Radha, and she ...",6.9,108,1975
2301,Aaye Din Bahar Ke,['0229952'],04 Nov 1966,"Musical, Romance","Asha Parekh, Dharmendra, Balraj Sahni","Ravi is an eligible bachelor, who lives with his mother. The whereabouts of his dad are unknown. He meets with beautiful Kanchan and both fall in love. But they face major hurdles, as Ravi soon finds out that he is the child of an un",6.6,115,1966
2302,Shikar,['0148841'],N/A,"Mystery, Thriller","Asha Parekh, Dharmendra, Sanjeev Kumar, Rehman","Manager Ajay Singh find out that a man by the name of Naresh is murdered and inform police inspector Rai, but all evidences are tampered with at the crime scene and as a result the murderer...",6.6,110,1968
2303,Chhota Bheem and the Throne of Bali,['3324810'],03 May 2013,Animation,"Rupa Bhimani, Vivaan Bhimani, Parignya Pandya Shah","On their visit to Bali for the coronation of the state's prince, Chhota Bheem and his friends learn that the state is captured by witch Rangda. Along with his friends, he sets out to save Bali.",6.3,149,2013
2304,Joshila,['0158690'],19 Oct 1973,"Drama, Thriller","Dev Anand, Hema Malini, Pran","Jailor Manmohan Krishan is responsible for looking after convicts undergoing sentences of rigorous imprisonment. He has a young, beautiful and captive daughter named Shalini. Shalini is a poet, one day while reciting her poetry, she ",6.2,105,1973
2305,Meri Biwi Ki Shaadi,['0378350'],N/A,"Comedy, Drama","Amol Palekar, Ranjeeta Kaur, Ashok Saraf, Birbal","Bhagawant Kumar Bhartendu, Professor in a reputed college is financially well placed & happily married to beautiful Priya. He has a deep-rooted fear that he is suffering from some chronic ...",6.6,85,1979
2306,Maa,['0246766'],N/A,"Drama, Fantasy","Jeetendra, Jaya Prada, Aruna Irani, Sahila Chaddha","A multi-millionaire, Ram Khanna, is advised by a fake astrologer that he will meet and marry a woman whose name will start with ""M"". Ram does meet Mamta, and they both fall in love. Ram ...",5.9,103,1992
2307,Jaan Se Pyaara,['0193246'],06 May 1992,"Action, Crime, Drama","Govinda, Divya Bharti, Aruna Irani, Raza Murad",A man tries to lead a double life as a Cop and at the same time look after his retarded twin brother and devoted mother. But then his dangerous police work comes in the way of his family life causing tragedy.,5.4,102,1992
2308,Bade Dil Wala,['0317117'],24 Sep 1983,"Drama, Action, Crime, Family, Romance","Rishi Kapoor, Tina Ambani, Sarika, Aruna Irani",Amrit's generosity and kindness initially lands him in the bad books of a dancer; then in prison; and then as false son-in-law of a very wealthy man.,6.3,117,1983
2309,Meerabai Not Out,['1024852'],05 Dec 2008,"Comedy, Drama, Romance","Anupam Kher, Mahesh Manjrekar, Mandira Bedi",A cricket-loving school-teacher faces challenges after agreeing to marry a doctor.,3.9,89,2008
2310,Zara Si Zindagi,['0155408'],07 Jan 1983,"Drama, Family, Romance","Kamal Haasan, Anita Raj, Arjun Chakraborty","Remake of Balachander's Tamil hit Varumayin Niram Sivappu, Kamal Haasan reprises his role as Raja, a graduate looking for work in capital, sharing a small home with two other unemployed youth. He falls in love with a struggling actre",7.7,93,1983
2311,Hume Tumse Pyaar Kitna,['6862542'],05 Jul 2019,"Action, Drama, Romance","Karanvir Bohra, Priya Banerjee, Mahesh Balraj",It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,4.9,115,2019
2312,Haseena Maan Jayegi,['0239452'],01 Jan 1968,"Action, Drama, Musical","Shashi Kapoor, Babita Kapoor, Johnny Walker",An army officer's wife is unsure if the man she is living with is her husband or his look-alike.,6.8,122,1968
2313,Thodisi Bewafaii,['0081624'],29 Apr 1980,Drama,"Rajesh Khanna, Shabana Azmi, Siddharth, Padmini Kolhapure","Arvind Kumar Choudhary is widowed, respectable and wealthy businessman, who lives with his only son, Arun, in a palatial house. He re-marries another woman, Sujata, who is a widow, with two...",5.9,101,1980
2314,Paap Ki Duniya,['0243472'],18 Mar 1988,"Action, Drama, Romance","Sunny Deol, Neelam Kothari, Pran",When a jailer hears that his sister is in love with a guy he is quite delighted to meet this guy only to find out that this guy is none other than a criminal called Pasha. Worst off the girl is married to Pasha and is pregnant with h,5.0,103,1988
2315,Swarag Se Sunder,['0155227'],17 Feb 1986,Drama,"Jeetendra, Jaya Prada, Mithun Chakraborty, Padmini Kolhapure",Vijay is the head of the village living with his wife Laxmi he is looked with respect by everyone in village for the changes he has done to his village but Milavat Ram and Paanalal are ...,5.2,102,1986
2316,Mujhe Meri Biwi Se Bachaao,['0272735'],18 Jun 2001,"Comedy, Musical, Family","Rekha, Naseeruddin Shah, Arshad Warsi","Anand Mathur comes from a middle-class background, but has always dreamed of living in luxury. His dreams take form when he meets with the only daughter, Kamini, of an aging and sick multi-millionaire. Kamini who is grossly overweigh",4.2,97,2001
2317,Swati,['0092033'],02 May 1986,Drama,"Shashi Kapoor, Sharmila Tagore, Meenakshi Sheshadri, Vinod Mehra","Sharda, a nurse and single mother, raises her daughter Swati as an independent, articulate young woman. Swati is a strong advocate of women's rights in a society where there is significant ...",6.7,99,1986
2318,Say Salaam India: 'Let's Bring the Cup Home',['1020899'],30 Mar 2007,"Drama, Sport","Mandar Jadhav, Milind Soman, Sanjay Suri, Sandhya Mridul","Principal Goswami of prestigious Royal Heritage High School recruits his chum, Hari Sadu, to coach his school's five-time winning cricket team, only to let him go following complaints of ...",6.3,92,2007
2319,Chargesheet,['1368453'],30 Sep 2011,"Drama, Thriller","Dev Anand, Sanket Dhawan, Divya Dutta",The story revolves around the murder case of an actress.,6.4,106,2011
2320,Jaal,['0044761'],N/A,"Crime, Thriller","Dev Anand, Geeta Bali, K.N. Singh, Johnny Walker","After losing his vision during a storm, Carlos lives with his sister, Maria, off of the Indian coast in a fishing village. One day a mysterious young woman, Lisa, enters their lives, ...",7.3,107,1952
2321,Sindoor,['0359990'],14 Aug 1987,"Comedy, Drama","Shashi Kapoor, Govinda, Neelam Kothari","Vijay forces his wife Laxmi to leave her house, suspecting an extra marital affair. Years later, Vijay and Laxmi come face to face and start meeting each other.",5.0,116,1987
2322,Chhodon Naa Yaar,['1108831'],05 Oct 2007,"Horror, Thriller","Jimmy Sheirgill, Kim Sharma, Farid Amiri",Three college friends decide to make the film on the remote village only to hunt them by the spirit.,4.6,96,2007
2323,Love in Simla,['0318405'],N/A,"Comedy, Drama, Family, Romance, Musical","Joy Mukherjee, Sadhana, Azra, Kishore Sahu","After the untimely death of her father and step-mother, Sonia is orphaned and lives with her aunt and paternal uncle (Mrs. and General Rajpal Singh). Sonia is plain-looking as her real ...",7.2,93,1960
2324,Aaina,['0106203'],18 Jun 1993,"Drama, Romance","Jackie Shroff, Juhi Chawla, Amrita Singh",Roma leaves Ravi at the altar to pursue her ambitions. Her sister Reema steps in to marry Ravi. All's well till Roma returns. Reema must face Roma now.,6.0,465,1993
2325,Soch Lo,['1630613'],27 Sep 2010,"Action, Crime, Drama","Barkha Madan, Iris Maity, Nishan Nanaiah","An injured and amnesiac male who robs to survive in a desert, is rescued with people with an agenda of their own.",6.5,95,2010
2326,Sharada,['0050956'],N/A,"Drama, Romance, Musical","Raj Kapoor, Meena Kumari, Shyama, Anita Guha","Chiranjeev lives a wealthy lifestyle along with his widowed father, Kashiram, two sisters, one of who is dumb, and a younger brother. While on a trip, his friend, Mohan, falls ill due to ...",6.5,101,1957
2327,Farz,['0272607'],12 Jan 2001,"Action, Thriller","Sunny Deol, Preity Zinta, Jackie Shroff","ACP Arjun Singh and his brother-in-law, Tayaji are with the police force but when Tayaji is assassinated on duty Arjun's family feels devastated by his death. Soon, Gawa Firozi and his brother Sikander start to terrorize the city.",4.3,433,2001
2328,Fakira,['0298327'],06 Sep 1976,"Action, Drama, Thriller","Shashi Kapoor, Shabana Azmi, Asrani","Vijay helps the poor and robs the rich, while Ajay is assigned the job to bring Vijay to justice. Thirsty for each other's blood, both men are unaware that they are brothers separated at a young age.",6.5,96,1976
2329,Bewafa Sanam,['0439464'],12 May 1995,"Drama, Romance","Krishan Kumar, Shilpa Shirodkar, Sagar","Later during the imprisonment, Sundar came to know about such facts about Sheetal which left him in ultimate misery and pain.",5.1,104,1995
2330,Dharm Adhikari,['0186799'],11 Apr 1986,"Action, Comedy, Drama","Dilip Kumar, Jeetendra, Sridevi","The compelling story of honest and ethical Dharamraj of Nand Gaon village, whose very name instills fear amongst wrong-doers. Ironically, the very man whose family has been administering justice for four generations, must now distanc",5.9,102,1986
2331,Aag Hi Aag,['0177487'],03 Apr 1987,Action,"Dharmendra, Shatrughan Sinha, Moushumi Chatterjee","Army officer Bahadur Singh is recalled to duty on very day his wife gives birth to son Vijay. While way back on duty, Bahadur Singh's village is attacked by decoites, his sister raped and killed. He goes to police to file complaint b",5.3,93,1987
2332,Paranthe Wali Gali,['2907156'],17 Jan 2014,"Drama, Romance","Mohinder Gujral, Yuvraj Haral, Vijayant Kohli",A romance between a Sikh girl Naina Kaur and a Rajasthan boy Maulik.,5.0,88,2014
2333,Ishq Click,['4579982'],22 Jul 2016,"Drama, Romance","Adhyayan Suman, Sara Loren, Aaryansh Arora","This is the story of Aditya a struggling photographer holidaying in the beautiful valleys of Himachal Pradesh, where he meets a pretty girl Sophie and happens to click her while sight seeing. Post which he tries to befriend her but h",4.3,91,2016
2334,Aaj Ki Taaza Khabar,['0177502'],N/A,Comedy,"Radha Saluja, Kiran Kumar, I.S. Johar, Asrani","Sunil Mehta gets stuck in a giant ferris wheel with an attractive young woman all night due to power failure. He arrives home the next day, and meets a very suspicious wife, Geeta, who ...",7.3,87,1973
2335,Satyamev Jayate,['2360717'],06 May 2012,"Documentary, Talk-Show",Aamir Khan,Aamir Khan hosts and produces this documentary/talkshow that explores the social issues affecting modern India.,8.7,"6,611",2012–
2336,Mazdoor,['0158768'],14 Oct 1983,"Drama, Romance","Dilip Kumar, Nanda, Raj Babbar",A laborer-turned-businessman faces challenges after the marriage of his children.,6.7,116,1983
2337,Do Jasoos,['0361515'],N/A,"Comedy, Mystery","Raj Kapoor, Rajendra Kumar, Shailendra Singh, Bhavana Bhatt","Two bumbling, middle-aged private detectives, Dharamchand and Karamchand, are assigned to locate the missing daughter, Asha, of a multi-millionaire. Their adventures take them to a gangster...",6.3,71,1975
2338,Around the World,['0035648'],27 Nov 1943,"Comedy, Music, War","Kay Kyser, Mischa Auer, Joan Davis","Bandleader Kay Kyser takes his troupe of nutty musicians, goofball comics and pretty girl singers on a tour around the world to entertain the troops during World War II.",5.6,165,1943
2339,Jeena Isi Ka Naam Hai,['0989775'],22 Mar 2002,Talk-Show,Farooq Shaikh,N/A,9.2,997,2002–
2340,Zahreelay,['0172622'],26 Jan 1990,"Action, Drama","Jeetendra, Bhanupriya, Sanjay Dutt, Vineeta","After being critically wounded and losing his left arm, Captain Jaswant Kumar is discharged from the Indian army and goes to live with Journalist A.V. Razdan in Shanti Nagar, Bombay. ...",5.2,95,1990
2341,Pehla Pehla Pyar,['0317985'],06 May 1994,"Comedy, Drama, Romance","Rishi Kapoor, Tabu, Anupam Kher","Sapna runs away from her aristocratic home, fed-up of the hatred and family politics. She meets with Raj, who she is attracted to. Raj, at first wants to get rid of her, then eventually falls in love with her. Then the two of them ha",5.2,111,1994
2342,Gollu Aur Pappu,['4219300'],21 Nov 2014,Comedy,"Dimple Kapadia, Deepak Tijori, Kunaal Roy Kapur",Two butt-head brothers are muddled in the midst of executing a bomb threat. What's worse than a national bomb scare? When the bomb is in the hands of two idiots.,3.6,105,2014
2343,Khuda Kasam,['1920986'],26 Nov 2010,"Action, Crime, Drama","Sunny Deol, Tabu, Beena Banerjee, Farida Jalal","While investigating the assassination of the Chief Minister, a CBI Officer is herself found guilty of this killing.",4.1,93,2010
2344,Massey Sahib,['0234211'],29 Apr 1987,Drama,"Raghuvir Yadav, Barry John, Arundhati Roy",Francis Massey works as a clerk in deputy commissioner's office in the colonial administration of British India. He aspires to become one of the rulers and does everything he can to impress his boss.,7.2,108,1986
2345,Bairaag,['0371558'],N/A,"Drama, Thriller","Dilip Kumar, Saira Banu, Leena Chandavarkar","Thakur Chandrabhan lives a wealthy lifestyle in a small village in India. He is widowed and lives with his sister; a widowed daughter-in-law, Saraswati; and a grand-daughter, Tara, who is of marriageable age. Also living in this hous",6.5,117,1976
2346,Bandhe Haath,['0069751'],16 Feb 1973,"Action, Thriller","Mumtaz, Amitabh Bachchan, Ajit","Shyamu is an orphan, living with his mentor, and has made stealing his career. While his mentor is recuperating in hospital, from a fracture, Shyamu decides to go straight. He is mistaken for popular writer, Deepak, and is met with c",5.7,103,1973
2347,Ek Nazar,['0068532'],28 Jul 1972,"Drama, Romance","Amitabh Bachchan, Jaya Bachchan, Nadira, Tarun Bose","Leading lawyer and public prosecutor, Raghunath Tyagi, lives an upper middle- class life in India with his only son, Akash Manmohan. Raghunath would like his son to take an interest in law ...",6.0,94,1972
2348,Ehsaas: The Feeling,['0302524'],30 Nov 2001,"Drama, Romance","Sunil Shetty, Shabana Raza, Kirron Kher","Ravi Naik lives a middle class life with his son Rohan in the country of India. He brings up his son in a very strict, quiet and disciplined atmosphere, so much so that his son starts to resent him and his mannerism. All Ravi wants i",5.6,103,2001
2349,Aag Ka Gola,['0177489'],N/A,"Action, Drama","Sunny Deol, Dimple Kapadia, Archana Puran Singh",Poverty and hunger forces young Shankar to take up employment as a mechanic. To this extent all is well for him until he is arrested by the police for a crime he did not committed; but Shankar manages to escape only to witness that h,4.7,102,1990
2350,Taaqat,['0173301'],23 Jun 1995,"Crime, Romance","Dharmendra, Shatrughan Sinha, Kajol, Vikas Bhalla","Two powerful and strong-armed gangsters work for opposite political parties. Bhau works for Anil Rege, while Shakti works for Babbanrao. Both believe that that these two political leaders ...",4.9,88,1995
2351,Insaaf: The Justice,['0405046'],05 Mar 2004,"Action, Drama","Dino Morea, Namrata Shirodkar, Sanjay Suri","Vishwanath Prasad is an Indian Administrative Service officer and lives in Bombay with his wife, Kunti, and a daughter, Sanaa. One night when he returns home, his wife tells him that she has been sexually assaulted and names the culp",4.0,98,2004
2352,Angel,['0162065'],05 Oct 1999,"Action, Drama, Fantasy","David Boreanaz, Charisma Carpenter, Alexis Denisof","The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption.",7.9,"66,077",1999–2004
2353,Shatranj,['0108109'],17 Dec 1993,"Comedy, Drama, Romance","Jackie Shroff, Juhi Chawla, Mithun Chakraborty",Dharamraj dislikes women and has told his younger brothers to stay away from them.,6.3,97,1993
2354,Kash... Aap Hamare Hote,['0352489'],14 Feb 2003,"Family, Musical, Romance","Juhi Babbar, Sonu Nigam, Om Puri","Yashwantraj Mankotia (Om Puri) has brought up the daughter of his late friend, Amrita (Juhi Babbar) with love and affection as his own daughter. He plans to marry her to his only son, Randeep (Sharad Kapoor), who is settled in Canada",5.0,91,2003
2355,Mr Bhatti on Chutti,['1127220'],18 May 2012,Comedy,"Anupam Kher, Bhairavi Goswami, Amaan Irees","Mr Bhatti is a delusional character who wins a trip to the Lake District out of the blue, he comes over, with a group of Indian tourists visiting the Lake District. Bhatti is under the impression that he has been called over by Georg",3.9,88,2012
2356,Mahal,['0041619'],N/A,"Drama, Horror, Mystery","Ashok Kumar, Madhubala, M. Kumar","A young lawyer is involved with a ghostly woman in his new house, where the builder and his fiancée died shortly after it was built.",7.1,387,1949
2357,Anuraag,['0068217'],05 Dec 1972,Drama,"Ashok Kumar, Nutan, Vinod Mehra","Bombay-based Rajesh lives a fairly wealthy lifestyle with his parents, mom - a housewife and dad - a rather parsimonious businessman, named Amirchand. One day while walking on the beach, he comes across a beautiful blind girl named S",6.6,120,1972
2358,Sunghursh,['0063540'],26 Jul 1968,"Action, Crime, Drama","Dilip Kumar, Vyjayanthimala, Balraj Sahni, Sanjeev Kumar","The Prasads live in Banaras circa 19th Century, and consist of Bhawani - a thug, who poses as a holy man, luring devotees and robbing them; his wife - who will have nothing to do with his ...",6.8,93,1968
2359,Daman,['14245224'],N/A,N/A,"Ali Ijaz, Aslam Pervaiz, Nayyar Sultana",N/A,N/A,N/A,1973
2360,Popcorn Khao! Mast Ho Jao,['0430480'],01 Oct 2004,"Comedy, Drama, Romance","Akshay Kapoor, Tanisha, Yash Tonk, Deepak Tijori","Three former collegians experience love, heartbreaks, as well as life's ups and downs.",4.1,74,2004
2361,Aatank,['0446889'],N/A,"Action, Thriller","Nafisa Ali, Dharmendra, Girish Karnad, Amjad Khan",Jesu and Peter are childhood friends who live in a coastal village in India and depend on fishing as their livelihood. The community is oppressed by a powerful gangster named Alphonso. Jesu...,3.7,100,1996
2362,Munimji,['0048395'],N/A,"Comedy, Musical, Romance","Dev Anand, Nalini Jaywant, Ameeta","Roopa lives a wealthy lifestyle with her widowed dad, Captain Suresh, and brother, Shekhar. After she returns from abroad, she is told that she must now prepare to get married to her betrothed, Ratan, who is the son of a close friend",7.5,98,1955
2363,Tawaif,['0090138'],22 Mar 1985,"Comedy, Drama, Romance","Ashok Kumar, Rishi Kapoor, Rati Agnihotri",A courtesan accidentally comes to the house of a humble man and lives in the civil society without revealing about her profession. She falls for the man but her past forbids a union between them.,7.1,109,1985
2364,Baaz,['0045529'],N/A,"Action, Adventure, Musical","Guru Dutt, Geeta Bali, K.N. Singh","Nisha lives a poor lifestyle in the Portuguese-ruled Malabar region in India along with her widowed dad, Narayan Das. Both father and daughter are opposed to the oppressive rule of the Portuguese General Barborosa, and even shelter a",7.3,94,1953
2365,The Film,['0466546'],25 Nov 2005,"Drama, Thriller","Nassar Abdulla, Ravi Baswani, Rakesh Bedi, Ruby Bhatia","Widowed Mrs. Braganza rents her house to seven struggling wanna-be film artistes, who want to make it big in Bollywood, they are Sushmita Banerjee who wants to be a writer; Aditya Sharma ...",6.6,75,2005
2366,Swami Dada,['0084744'],03 Dec 1982,"Action, Drama","Dev Anand, Mithun Chakraborty, Rati Agnihotri","Dev Anand is one of the tapori gang, handled by Kulbhushan Kharbanda. He escapes to Western country, only to come back and see that the members of the gang living in same conditions. He, himself have become a spiritual person. Named ",6.3,87,1982
2367,Marte Dam Tak,['0234207'],N/A,"Action, Drama","Raaj Kumar, Govinda, Farha Naaz","Marte Dam Tak a 1987 Indian Hindi film, directed by Mehul Kumar. The film stars Govinda, Raaj Kumar and Farha in lead roles. The film had musical score by Ravindra Jain.",4.9,109,1987
2368,Kahani Kismat Ki,['0367921'],N/A,"Action, Drama","Dharmendra, Rekha, Ajit","A thief vows to go straight after one short prison term but severe monetary need forces him to commit a robbery on behalf of his employer, which leads to him being framed for a murder.",6.0,91,1973
2369,Saat Rang Ke Sapne,['0242831'],20 Feb 1998,"Drama, Romance","Arvind Swamy, Juhi Chawla, Farida Jalal, Aruna Irani","Forced into marriage with a mentally deranged man, Yashoda (Farida Jalal) gives birth to a child, only to have her husband kill himself and the child, leaving her devastated and alone. This...",6.0,91,1998
2370,Aashiq Hoon Baharon Ka,['0178207'],16 Dec 1977,Romance,"Rajesh Khanna, Zeenat Aman, Danny Denzongpa","Ashok Sharma lives with his mother in India, and they are a lower middle class family. Ashok gets an opportunity to travel to Switzerland for research purposes. Once there, he meets with Chandidas Rai, a businessman, who would like A",5.5,85,1977
2371,Inteqam: The Perfect Game,['0349620'],29 Oct 2004,"Action, Thriller","Manoj Bajpayee, Isha Koppikar, Nethra Raghuraman","Assistant Commissioner of Police, Uday Dhirendra Thakur, is a rogue cop, known for his relentlessness in pursuing criminals, and bringing them to justice, failing which, killing them in false encounters. It is this reputation that ge",5.0,92,2004
2372,Musafir,['0430381'],10 Dec 2004,"Action, Crime, Drama","Anil Kapoor, Sameera Reddy, Aditya Pancholi","A small-time criminal, betrayed by his girlfriend and owing money to a fearsome crime lord, agrees to travel to Goa for a drug deal and becomes involved with a local woman and her much older husband, both of who want to kill each oth",5.5,"1,769",2004
2373,Anand Math,['0215515'],N/A,"Biography, Drama, History","Prithviraj Kapoor, Geeta Bali, Ranjana","Watch the full movie, Anand Math online, only on Eros Now. Anand Math is a 1952 Hindi patriotic-historical film directed by Hemen Gupta, based on Anandamath, the famous Bengali novel written by Bankim Chandra Chatterjee in 1882. The ",7.6,85,1952
2374,Jheel Ke Us Paar,['0070241'],28 Aug 1973,"Drama, Romance","Dharmendra, Mumtaz, Prem Chopra, Mehmood Jr.","Kulwant Rai's horse carriage runs over a child, and as a result, she loses her vision. Years later she grows up to be beautiful girl namely, Neelu (Mumtaz), and Kulwant Rai's son, Sameer (...",7.2,86,1973
2375,Dil Jo Na Keh Saka,['7585620'],17 Nov 2017,Romance,"Himansh Kohli, Priya Banerjee, Bhuvnesh Mann","Starring Himansh Kohli and Priya Banerjee, a romantic drama that follows the story of two childhood friends who end up going separate ways to follow their dreams. Eventually, they return to their hometown where they chance across eac",5.4,104,2017
2376,Jawani Diwani,['0155775'],14 Jul 1972,"Musical, Family, Romance","Randhir Kapoor, Jaya Bachchan, Balraj Sahni","The exuberance of youth influences two college going lovers to edify their headstrong parents. They sing the following Panchamda songs to achieve this goal: ""Jaane Jaan doodta fir ruha"" ""Saamne yeh koun aaya"" ""Yeh Jawani hai Diwani"" ",6.9,95,1972
