,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
3130,Zameen Aasmaan,['0088442'],01 Jun 1984,"Family, Drama","Shashi Kapoor, Rakhee Gulzar, Rekha, Anita Raj","A widower has a run of good luck; a sudden increase in his fortunes, and a new woman in his life whose resemblance to his late wife seals the deal. However, the new bride may not have the best intentions towards him.",5.5,44,1984
3131,Nehle Pe Dehla,['0038772'],N/A,N/A,Eddie Billimoria,N/A,N/A,N/A,1946
3132,Brahma,['1212067'],10 Apr 1992,Action,"Aishwarya, Mohan Babu",Please upload the movie bramha mohanbabu movie,7.2,187,1992
3133,Bumper Draw,['4995402'],16 Oct 2015,Comedy,"Rajpal Yadav, Omkar Das Manikpuri, Subrat Dutta","Sunderlal and Farooq who befriend each other in a strange situation. After which, they both encounter Pestonji, an old Parsi man who adds to their existing list of problems.",4.8,44,2015
3134,Insaaf Apne Lahoo Se,['0349618'],18 Mar 1994,"Action, Drama","Shatrughan Sinha, Sanjay Dutt, Shekhar Suman, Farha Naaz","After his wife passes away, wealthy Advocate Mahendrapratap Singh re-marries a widow named Geeta, who has a young son named Devilal alias Devi. Mahendrapratap dislikes Devi to such an ...",4.8,41,1994
3135,All Rounder,['0233182'],N/A,"Action, Drama","Kumar Gaurav, Rati Agnihotri, Vinod Mehra, Shakti Kapoor","Ajay and Birju are brothers. Birju encourages his brother, who loves cricket, to become a professional, and he does so. His rise to fame creates many enemies for him, one of whom is Vikram....",4.8,31,1984
3136,Aaja Meri Jaan,['0177503'],17 Sep 1993,Romance,"Krishan Kumar, Tanya Singh, Shammi Kapoor",Two young lovers are separated when the man is falsely implicated in a murder.,4.6,36,1993
3137,Sallu Ki Shaadi,['7722484'],08 Dec 2017,Romance,"Zeenat Aman, Sandeep Anand, Asrani","Zeenat and Shahnawaz were a match made in movie theatre. They met in 1989, during a screening of Salman Khan's Maine Pyar Kiya, cupid struck swiftly and marital bliss followed. Everything was going well for the couple and their darli",3.6,39,2017
3138,Dekh Kabira Roya,['0157524'],N/A,"Comedy, Romance","Anita Guha, Anoop Kumar, Jawahar Kaul","Mohan, Pradeep and Ranjeet are struggling artistes who share the same house. When they decide to help each other find love by using their talents, their lives get entangled and chaos ensues.",7.3,34,1957
3139,Boond Jo Ban Gayee Moti,['0175497'],N/A,"Crime, Drama, Romance","Jeetendra, Mumtaz, Akashdeep, Vaishali",A once-disgraced school-master gets arrested for killing a lawyer's pregnant daughter.,6.8,30,1967
